AIR,1852.3888333333332
ADCT,1579.7
IWKS,21.401
AAL,27556.166666666668
CECE,132.38466666666667
ASA,493.6683333333333
AVX,2283.083
PNW,12631.711666666664
AAN,1572.0086666666666
ABT,54127.155
SERV.1,36.94166666666667
WDDD,0.23733333333333337
ACET,265.6555
MRCBF,3254.433333333333
ACMTA,96.52933333333333
ACU,54.740500000000004
AHIX,5.913
RWC,32.7775
AE,334.6758333333333
AMD,5834.666666666667
ASMIY,1677.9493333333332
AIM,21.854799999999997
AET,40350.283333333326
AEM,4729.3324999999995
APD,14698.15
AIRT,33.5875
EGN1,1154.4334999999999
SO1,18082.349833333334
ALAN,16.542166666666667
ALK,5229.2
ATRI,145.42083333333335
ACV.1,1633.4929999999997
IKN,2966.334
MATX,2031.9333333333332
ALX,1616.2463333333333
ACEL,1.7442
AGMJF,805.3855
0065A,2132.35
ALCO,204.49033333333333
ATPT,0.0
Y,11908.906833333334
AYE,11491.982666666669
HON,39404.0
ALY,1089.1113333333333
SWKS,1752.602
APNI,53.84780000000001
AA,38604.666666666664
3AMBEQ,1.1119999999999999
HES,36463.5
LCC,8043.6
AMR1,23394.833333333332
UHAL,4620.551833333333
ABLT,177.99916666666664
BEAM,10308.533333333335
ABM,1747.9701666666667
PRI,10823.265166666666
2388B,848.4678333333333
ECOL,198.42683333333332
AEP,51160.333333333336
AXP,142842.66666666666
AXP1,31916.666666666668
AFL,105663.16666666667
AM.1,1528.723
WYE,44031.724
AIG,672863.5
HAIPF,670.3578333333334
ALGI,9.733666666666666
TEEE.,1.0413333333333334
HIST,8.7345
AMAC,35.903999999999996
ANAT,21483.033
APFC,264.06966666666665
AMPH.1,291.66299999999995
ARL,1419.9366666666665
ASEI,296.08983333333333
AMS,67.9595
AMSWA,112.52816666666668
AVD,334.9868333333333
AMN,756.8133333333334
AME,4251.322833333333
AMGN,48142.0
AMPLQ,1025.20025
AP,509.2088333333333
AXR,202.17399999999998
ADI,4683.974833333334
ALOG,521.3978333333333
ANLY,31.890799999999995
ANEN,222.09716666666668
ANDR,4.7988333333333335
ANDE,1747.0895
NBR,11747.868999999999
MXLP,273.3695
APA,45870.371333333336
ASOE,31.851499999999998
APAGF,278.35516666666666
APOG,524.7511666666667
AEP1,10112.342166666667
AAPL,110281.83333333333
AMAT,11588.317666666668
SSHZ,21.668
ATU,1840.274666666667
TREC,109.30266666666667
AROBF,1165.7444999999998
AOXY,0.6368333333333335
ADM,37947.833333333336
ARDNA,113.58019999999999
PNW1,12394.1195
ARCB,945.1338333333334
ETR1,7136.961333333333
ARW,9526.139666666666
ARTW,27.962666666666667
AB.H,9.097166666666666
ASH,10387.833333333334
ASPN.1,15.8475
ALOT,69.4615
ATRO,212.0735
ACLLF,11941.0
GAS,10651.0
CEVL,5174.5
ATW,2218.3698333333336
REX,424.96033333333327
ASAM,127.12225000000001
ADSK,3297.783333333333
DCAI,69.358
ADP,28878.36666666667
AVHI,490.7808333333334
AVY,5137.75
AVT,8800.690499999999
AVP,7065.033333333334
AZZ,592.9055
BTI,42885.38316666667
BRT,296.013
PRSNQ,16.448666666666664
BMI,237.94316666666668
BKR,329.0508
BHI,20959.333333333332
BCPC,255.34083333333334
BEZ,2742.848
BWINB,904.5986666666668
BLL,7066.033333333334
CEG,21314.9
BPOP,36991.226
BOH,12994.022000000003
BTEC,211.89266666666666
EMA1.,734.2462499999999
BK,292593.5
BRE,3264.6721666666667
BCR,3644.6
B,1605.9191666666666
BRN,88.28833333333334
ABX,36362.0
DFZ,100.14883333333334
ESTE.1,27.418166666666668
BSET,222.26233333333332
6583B,5521.6
BAX,19263.333333333332
BRCOQ,4.6395
AIT,905.9065
CHSO,15.9105
BDX,10134.766333333333
BELFB,274.1801666666667
4994B,618.8546666666666
VZ,229898.16666666666
BCE,40461.166666666664
BLLI,24.150000000000002
BLC,1664.9688
BMS,3942.1990000000005
BNHN,235.38049999999998
BRK.B,373629.5
BBY,16463.666666666668
BIO,2926.3711666666672
SVNTQ,122.234
5938B,10984.766666666668
3BTEL,7.010666666666666
SPEX.2,7.968799999999999
NIMU,1.2958333333333334
3MFLU,9.049
BDK,5339.25
BKH,3690.1380000000004
LEXPQ,53.328
HRB,4947.146000000001
ESV,12589.700000000003
BLT,695.0585
BRRE,63.99483333333334
BOBE,1083.176
BA,74323.66666666667
OMX,4035.1265999999996
BOLT.1,76.74183333333333
CDIC,15.566
RHI,1358.7911666666666
0141A,3100.1666666666665
NST,8103.3885
RFP,6724.5
REXMY,9678.663999999999
ENTP,56.09366666666667
BWL.A,40.9075
WEDC,111.6275
BNE,470.8115
BRC,1681.3696666666667
BAM,86276.16666666667
BRER,861.634
BRID,59.109500000000004
BGG,1644.0623333333333
MSGI,3.952666666666667
BMY,33182.5
CYSTF,1437.8166666666668
TU,19986.666666666668
BP,272569.8333333333
BT,40118.11583333333
BNSSA,95.2645
BF.B,3629.3333333333335
CAL,1127.0603333333336
BC,2740.883333333333
MTRN,717.3708333333333
0015B,2496.4218333333333
CXEE,19.1765
BRK3,60191.833333333336
MTZ,1919.8151666666665
UIS,2724.083333333333
BUKS,35.60366666666667
CAE,3242.5
ACXM,1295.8743333333332
CDI,392.3253333333334
CI,48203.0
CPICQ,148.8785
CSS,293.37050000000005
CNA,55535.333333333336
CSPI,45.54716666666667
CSX,28881.833333333332
CTS,483.49199999999996
6534C,83.339
CVV,31.922833333333333
HTRN,241.7525
CBT,3365.5
CACH,87.95883333333332
CACI,2228.1941666666667
CDSCY,13003.601
CAGAQ,89.69466666666666
