tic	at
PRI	13227.7810
PRI	13227.7810
PRI	9884.3060
PRI	9884.3060
PRI	9998.5440
PRI	9998.5440
PRI	10337.8770
PRI	10337.8770
PRI	10329.9500
PRI	10329.9500
VBF
VBF
VBF
VBF
VBF
VBF
2388B	813.2990
2388B	761.2580
2388B	787.6780
2388B	878.1070
2388B	899.4800
2388B	950.9850
ECOL	127.7120
ECOL	123.6620
ECOL	217.3490
ECOL	202.5880
ECOL	218.6940
ECOL	300.5560
AEP	45155.0000
AEP	48348.0000
AEP	50455.0000
AEP	52223.0000
AEP	54367.0000
AEP	56414.0000
AXP	126074.0000
AXP	126074.0000
AXP	124088.0000
AXP	124088.0000
AXP	147042.0000
AXP	147042.0000
AXP	153337.0000
AXP	153337.0000
AXP	153140.0000
AXP	153140.0000
AXP	153375.0000
AXP	153375.0000
AXP1	39265.0000
AXP1	28152.0000
AXP1	29221.0000
AXP1	31141.0000
AXP1	33795.0000
AXP1	29926.0000
AFL	79331.0000
AFL	79331.0000
AFL	84106.0000
AFL	84106.0000
AFL	101039.0000
AFL	101039.0000
AFL	117102.0000
AFL	117102.0000
AFL	131094.0000
AFL	131094.0000
AFL	121307.0000
AFL	121307.0000
AM.1	1433.7880
AM.1	1529.6510
AM.1	1547.2490
AM.1	1549.4640
AM.1	1583.4630
WYE	44031.7240
AIG	860418.0000
AIG	860418.0000
AIG	847585.0000
AIG	847585.0000
AIG	683443.0000
AIG	683443.0000
AIG	555773.0000
AIG	555773.0000
AIG	548633.0000
AIG	548633.0000
AIG	541329.0000
AIG	541329.0000
HAIPF	540.8260
HAIPF	611.0470
HAIPF	781.6100
HAIPF	696.5130
HAIPF	708.0800
HAIPF	684.0710
ALGI	10.8100
ALGI	8.8950
ALGI	9.7090
ALGI	10.0690
ALGI	9.9630
ALGI	8.9560
HYEM
HYEM
TEEE.	2.1640
TEEE.	2.0540
TEEE.	1.9470
TEEE.	0.0650
TEEE.	0.0060
TEEE.	0.0120
HIST	8.7820
HIST	8.6870
AMAC	34.3660
AMAC	35.8290
AMAC	37.5170
ANAT	18379.4390
ANAT	18379.4390
ANAT	20149.5070
ANAT	20149.5070
ANAT	21413.0390
ANAT	21413.0390
ANAT	22524.2560
ANAT	22524.2560
ANAT	23107.0740
ANAT	23107.0740
ANAT	23324.8830
ANAT	23324.8830
APFC	251.4130
APFC	264.8410
APFC	275.7430
APFC	268.6500
APFC	246.4640
APFC	277.3070
AMPH.1	283.5540
AMPH.1	283.5540
AMPH.1	299.7720
AMPH.1	299.7720
ARL	1842.1530
ARL	1842.1530
ARL	1806.0540
ARL	1806.0540
ARL	1557.2750
ARL	1557.2750
ARL	1235.4710
ARL	1235.4710
ARL	1135.3450
ARL	1135.3450
ARL	943.3220
ARL	943.3220
ASEI	268.2870
ASEI	299.8530
ASEI	336.5740
ASEI	324.8650
ASEI	281.4490
ASEI	265.5110
AMS	62.1960
AMS	60.6210
AMS	65.3400
AMS	74.5350
AMS	73.3230
AMS	71.7420
AMSWA	112.3190
AMSWA	97.1750
AMSWA	104.8320
AMSWA	116.5530
AMSWA	113.0700
AMSWA	131.2200
AVD	286.9370
AVD	254.7110
AVD	281.7990
AVD	339.1410
AVD	399.8900
AVD	447.4430
AMN	726.3220
AMN	762.5490
AMN	781.5690
AME	3055.5420
AME	3246.0320
AME	3818.9150
AME	4319.4900
AME	5190.0560
AME	5877.9020
AMGN	36443.0000
AMGN	39629.0000
AMGN	43486.0000
AMGN	48871.0000
AMGN	54298.0000
AMGN	66125.0000
AMPLQ	935.9170
AMPLQ	935.9170
AMPLQ	920.6000
AMPLQ	920.6000
AMPLQ	1397.6750
AMPLQ	1397.6750
AMPLQ	846.6090
AMPLQ	846.6090
AP	488.9810
AP	471.8250
AP	526.9630
AP	531.6320
AP	533.1790
AP	502.6730
AXR	227.6520
AXR	227.6520
AXR	211.5090
AXR	211.5090
AXR	190.0400
AXR	190.0400
AXR	203.0390
AXR	203.0390
